trade_date,symbol,side,range_high,range_low,trigger_price,entry_time,entry_price,initial_sl,first_trail_time,first_trail_sl,two_candle_trail_time,two_candle_trail_sl,exit_time,exit_price,exit_reason,pnl_points,pnl_pct,mfe_points,mfe_pct,mae_points,mae_pct,stop_distance_points,stop_distance_pct,first_trail_profit_points,first_trail_profit_pct,first_trail_lock_points,first_trail_lock_pct,second_trail_profit_points,second_trail_profit_pct
2026-03-12,GOLD.i#,SELL,5170.35,5147.27,5144.7,2026-03-12T19:03:00+05:30,5144.7,5344.7,,,,,2026-03-12T21:30:00+05:30,5123.97,FORCE_EXIT,20.73,0.4029,35.01,0.6804,-8.96,-0.1742,200.0,3.8875,400.0,7.775,300.0,5.8312,700.0,13.6062
2026-03-13,GOLD.i#,SELL,5107.74,5085.75,5083.21,2026-03-13T11:46:00+05:30,5083.21,5283.21,,,,,2026-03-13T21:30:00+05:30,5047.17,FORCE_EXIT,36.04,0.7089,64.22,1.2633,-38.49,-0.7573,200.0,3.9345,400.0,7.869,300.0,5.9018,700.0,13.7708
2026-03-16,GOLD.i#,SELL,5036.0,5005.48,5002.98,2026-03-16T11:45:00+05:30,5002.98,5202.98,,,,,2026-03-16T21:30:00+05:30,4994.67,FORCE_EXIT,8.31,0.166,32.92,0.658,-34.97,-0.699,200.0,3.9976,400.0,7.9952,300.0,5.9964,700.0,13.9917
2026-03-17,GOLD.i#,BUY,5022.75,5005.18,5025.26,2026-03-17T12:08:00+05:30,5025.26,4825.26,,,,,2026-03-17T21:30:00+05:30,5002.6,FORCE_EXIT,-22.66,-0.4509,6.16,0.1226,-51.72,-1.0292,200.0,3.9799,400.0,7.9598,300.0,5.9698,700.0,13.9296
2026-03-18,GOLD.i#,SELL,5016.19,4996.26,4993.76,2026-03-18T12:20:00+05:30,4993.76,5193.76,,,,,2026-03-18T21:30:00+05:30,4886.71,FORCE_EXIT,107.05,2.1437,159.57,3.1954,-3.0,-0.06,200.0,4.005,400.0,8.01,300.0,6.0075,700.0,14.0175
2026-03-19,GOLD.i#,SELL,4842.08,4747.81,4745.44,2026-03-19T12:14:00+05:30,4745.44,4945.44,,,,,2026-03-19T21:30:00+05:30,4587.85,FORCE_EXIT,157.59,3.3208,242.82,5.1168,-9.44,-0.199,200.0,4.2146,400.0,8.4292,300.0,6.3219,700.0,14.751
2026-03-20,GOLD.i#,BUY,4701.01,4661.47,4703.36,2026-03-20T12:26:00+05:30,4703.36,4503.36,,,,,2026-03-20T21:30:00+05:30,4585.8,FORCE_EXIT,-117.56,-2.4995,31.47,0.6691,-162.78,-3.4609,200.0,4.2523,400.0,8.5046,300.0,6.3784,700.0,14.883
2026-03-23,GOLD.i#,SELL,4310.23,4163.1,4161.02,2026-03-23T11:36:00+05:30,4161.02,4361.02,,,,,2026-03-23T15:36:00+05:30,4361.02,INITIAL_SL,-200.0,-4.8065,62.21,1.495,-219.97,-5.2865,200.0,4.8065,400.0,9.613,300.0,7.2098,700.0,16.8228
2026-03-24,GOLD.i#,BUY,4405.03,4342.87,4407.23,2026-03-24T11:30:00+05:30,4407.23,4207.23,,,,,2026-03-24T21:30:00+05:30,4426.05,FORCE_EXIT,18.82,0.427,34.81,0.7898,-55.81,-1.2664,200.0,4.538,400.0,9.076,300.0,6.807,700.0,15.883
2026-03-25,GOLD.i#,BUY,4556.91,4533.13,4559.19,2026-03-25T11:46:00+05:30,4559.19,4359.19,,,,,2026-03-25T21:30:00+05:30,4556.24,FORCE_EXIT,-2.95,-0.0647,26.77,0.5872,-37.46,-0.8216,200.0,4.3867,400.0,8.7735,300.0,6.5801,700.0,15.3536
2026-03-26,GOLD.i#,BUY,4459.51,4415.84,4461.74,2026-03-26T12:10:00+05:30,4461.74,4261.74,,,,,2026-03-26T21:30:00+05:30,4394.67,FORCE_EXIT,-67.07,-1.5032,17.58,0.394,-94.91,-2.1272,200.0,4.4826,400.0,8.9651,300.0,6.7238,700.0,15.6889
2026-03-27,GOLD.i#,SELL,4472.91,4451.67,4449.44,2026-03-27T11:38:00+05:30,4449.44,4649.44,,,,,2026-03-27T21:30:00+05:30,4511.88,FORCE_EXIT,-62.44,-1.4032,45.06,1.0128,-105.94,-2.3809,200.0,4.4949,400.0,8.9899,300.0,6.7424,700.0,15.7323
2026-03-30,GOLD.i#,BUY,4528.46,4496.72,4530.72,2026-03-30T11:39:00+05:30,4530.72,4330.72,,,,,2026-03-30T21:30:00+05:30,4546.29,FORCE_EXIT,15.57,0.3436,49.93,1.1019,-18.23,-0.4025,200.0,4.4143,400.0,8.8286,300.0,6.6215,700.0,15.4501
2026-03-31,GOLD.i#,SELL,4581.67,4547.73,4545.46,2026-03-31T12:49:00+05:30,4545.46,4745.46,,,,,2026-03-31T21:30:00+05:30,4612.25,FORCE_EXIT,-66.79,-1.4695,15.98,0.3515,-84.83,-1.8663,200.0,4.4,400.0,8.8,300.0,6.6,700.0,15.4
2026-04-01,GOLD.i#,BUY,4703.53,4674.84,4705.88,2026-04-01T11:54:00+05:30,4705.88,4505.88,,,,,2026-04-01T21:30:00+05:30,4788.37,FORCE_EXIT,82.49,1.7529,82.5,1.7531,-3.68,-0.0782,200.0,4.25,400.0,8.5,300.0,6.375,700.0,14.875
2026-04-02,GOLD.i#,SELL,4680.6,4585.9,4583.61,2026-04-02T11:32:00+05:30,4583.61,4783.61,,,,,2026-04-02T21:30:00+05:30,4659.69,FORCE_EXIT,-76.08,-1.6599,29.87,0.6516,-115.77,-2.5258,200.0,4.3634,400.0,8.7268,300.0,6.5451,700.0,15.2718
2026-04-06,GOLD.i#,SELL,4678.86,4651.43,4649.1,2026-04-06T11:30:00+05:30,4649.1,4849.1,,,,,2026-04-06T21:30:00+05:30,4669.57,FORCE_EXIT,-20.47,-0.4402,5.35,0.1152,-57.51,-1.2369,200.0,4.3019,400.0,8.6038,300.0,6.4529,700.0,15.0567
2026-04-07,GOLD.i#,BUY,4661.48,4623.11,4663.81,2026-04-07T13:44:00+05:30,4663.81,4463.81,,,,,2026-04-07T21:30:00+05:30,4655.42,FORCE_EXIT,-8.39,-0.1799,30.74,0.6591,-56.36,-1.2085,200.0,4.2883,400.0,8.5767,300.0,6.4325,700.0,15.0092
2026-04-08,GOLD.i#,SELL,4843.8,4800.27,4797.87,2026-04-08T14:11:00+05:30,4797.87,4997.87,,,,,2026-04-08T21:30:00+05:30,4758.56,FORCE_EXIT,39.31,0.8193,65.61,1.3675,-9.31,-0.194,200.0,4.1685,400.0,8.337,300.0,6.2528,700.0,14.5898
2026-04-09,GOLD.i#,BUY,4726.59,4705.88,4728.95,2026-04-09T12:40:00+05:30,4728.95,4528.95,,,,,2026-04-09T21:30:00+05:30,4793.43,FORCE_EXIT,64.48,1.3634,69.02,1.4594,-23.31,-0.493,200.0,4.2293,400.0,8.4585,300.0,6.3439,700.0,14.8024
2026-04-10,GOLD.i#,SELL,4769.18,4757.39,4755.01,2026-04-10T11:48:00+05:30,4755.01,4955.01,,,,,2026-04-10T21:30:00+05:30,4760.18,FORCE_EXIT,-5.17,-0.1087,24.39,0.513,-40.11,-0.8435,200.0,4.2061,400.0,8.4122,300.0,6.3091,700.0,14.7213
2026-04-13,GOLD.i#,BUY,4730.76,4716.4,4733.13,2026-04-13T12:31:00+05:30,4733.13,4533.13,,,,,2026-04-13T21:30:00+05:30,4714.81,FORCE_EXIT,-18.32,-0.387,11.51,0.2433,-32.8,-0.6929,200.0,4.2255,400.0,8.4511,300.0,6.3383,700.0,14.7894
2026-04-14,GOLD.i#,BUY,4774.25,4757.98,4776.64,2026-04-14T12:22:00+05:30,4776.64,4576.64,,,,,2026-04-14T21:30:00+05:30,4805.68,FORCE_EXIT,29.04,0.608,41.26,0.8638,-24.26,-0.5078,200.0,4.187,400.0,8.3741,300.0,6.2806,700.0,14.6547
2026-04-15,GOLD.i#,SELL,4830.33,4812.58,4810.17,2026-04-15T12:31:00+05:30,4810.17,5010.17,,,,,2026-04-15T21:30:00+05:30,4802.45,FORCE_EXIT,7.72,0.1606,23.94,0.4978,-20.34,-0.4228,200.0,4.1579,400.0,8.3157,300.0,6.2368,700.0,14.5525
2026-04-16,GOLD.i#,SELL,4838.35,4821.28,4818.87,2026-04-16T11:51:00+05:30,4818.87,5018.87,,,,,2026-04-16T21:30:00+05:30,4808.67,FORCE_EXIT,10.2,0.2117,45.71,0.9485,-12.06,-0.2503,200.0,4.1504,400.0,8.3007,300.0,6.2255,700.0,14.5262
2026-04-17,GOLD.i#,SELL,4806.25,4793.76,4791.36,2026-04-17T11:30:00+05:30,4791.36,4991.36,,,,,2026-04-17T21:30:00+05:30,4864.38,FORCE_EXIT,-73.02,-1.5239,12.71,0.2653,-98.02,-2.0457,200.0,4.1742,400.0,8.3484,300.0,6.2613,700.0,14.6096
2026-04-20,GOLD.i#,BUY,4796.04,4779.69,4798.44,2026-04-20T12:33:00+05:30,4798.44,4598.44,,,,,2026-04-20T21:30:00+05:30,4799.83,FORCE_EXIT,1.39,0.029,29.18,0.6082,-15.0,-0.3126,200.0,4.168,400.0,8.336,300.0,6.252,700.0,14.5881
2026-04-21,GOLD.i#,SELL,4797.07,4783.22,4780.83,2026-04-21T11:30:00+05:30,4780.83,4980.83,,,,,2026-04-21T21:30:00+05:30,4742.89,FORCE_EXIT,37.94,0.7936,57.14,1.1952,-17.18,-0.3594,200.0,4.1834,400.0,8.3668,300.0,6.2751,700.0,14.6418
2026-04-22,GOLD.i#,SELL,4772.08,4752.23,4749.85,2026-04-22T15:33:00+05:30,4749.85,4949.85,,,,,2026-04-22T21:30:00+05:30,4729.26,FORCE_EXIT,20.59,0.4336,24.83,0.5228,-11.07,-0.233,200.0,4.2107,400.0,8.4213,300.0,6.316,700.0,14.7373
2026-04-23,GOLD.i#,BUY,4715.21,4692.59,4717.57,2026-04-23T11:31:00+05:30,4717.57,4517.57,,,,,2026-04-23T21:30:00+05:30,4719.51,FORCE_EXIT,1.94,0.0412,25.53,0.5412,-33.34,-0.7067,200.0,4.2395,400.0,8.4789,300.0,6.3592,700.0,14.8382
2026-04-24,GOLD.i#,SELL,4687.31,4669.54,4667.21,2026-04-24T12:21:00+05:30,4667.21,4867.21,,,,,2026-04-24T21:30:00+05:30,4728.72,FORCE_EXIT,-61.51,-1.318,0.4,0.0085,-73.13,-1.567,200.0,4.2852,400.0,8.5704,300.0,6.4278,700.0,14.9983
2026-04-27,GOLD.i#,SELL,4725.44,4708.76,4706.41,2026-04-27T14:10:00+05:30,4706.41,4906.41,,,,,2026-04-27T21:30:00+05:30,4667.33,FORCE_EXIT,39.08,0.8303,39.22,0.8332,-8.3,-0.1764,200.0,4.2495,400.0,8.4991,300.0,6.3743,700.0,14.8733
2026-04-28,GOLD.i#,SELL,4667.98,4623.9,4621.59,2026-04-28T13:25:00+05:30,4621.59,4821.59,,,,,2026-04-28T21:30:00+05:30,4583.92,FORCE_EXIT,37.67,0.815,66.7,1.4432,-13.77,-0.298,200.0,4.3275,400.0,8.655,300.0,6.4913,700.0,15.1463
2026-04-29,GOLD.i#,SELL,4607.69,4590.66,4588.36,2026-04-29T11:42:00+05:30,4588.36,4788.36,,,,,2026-04-29T21:30:00+05:30,4551.4,FORCE_EXIT,36.96,0.8056,78.23,1.7051,-2.11,-0.0459,200.0,4.3589,400.0,8.7177,300.0,6.5383,700.0,15.256
2026-04-30,GOLD.i#,BUY,4569.71,4541.84,4571.99,2026-04-30T12:00:00+05:30,4571.99,4371.99,,,,,2026-04-30T21:30:00+05:30,4614.82,FORCE_EXIT,42.83,0.9367,75.05,1.6414,-2.43,-0.0533,200.0,4.3745,400.0,8.7489,300.0,6.5617,700.0,15.3106
2026-05-01,GOLD.i#,SELL,4616.14,4602.96,4600.66,2026-05-01T11:45:00+05:30,4600.66,4800.66,,,,,2026-05-01T21:30:00+05:30,4642.19,FORCE_EXIT,-41.53,-0.9027,40.51,0.8805,-59.61,-1.2957,200.0,4.3472,400.0,8.6944,300.0,6.5208,700.0,15.2152
2026-05-04,GOLD.i#,SELL,4613.14,4592.19,4589.89,2026-05-04T11:35:00+05:30,4589.89,4789.89,,,,,2026-05-04T21:30:00+05:30,4524.6,FORCE_EXIT,65.29,1.4226,77.61,1.691,-8.64,-0.1882,200.0,4.3574,400.0,8.7148,300.0,6.5361,700.0,15.2509
2026-05-05,GOLD.i#,BUY,4551.57,4531.27,4553.85,2026-05-05T12:33:00+05:30,4553.85,4353.85,,,,,2026-05-05T21:30:00+05:30,4567.4,FORCE_EXIT,13.55,0.2976,32.74,0.719,-13.89,-0.3049,200.0,4.3919,400.0,8.7838,300.0,6.5878,700.0,15.3716
2026-05-06,GOLD.i#,BUY,4663.89,4644.59,4666.22,2026-05-06T11:56:00+05:30,4666.22,4466.22,,,,,2026-05-06T21:30:00+05:30,4685.23,FORCE_EXIT,19.01,0.4074,56.76,1.2164,-8.8,-0.1886,200.0,4.2861,400.0,8.5722,300.0,6.4292,700.0,15.0014
2026-05-07,GOLD.i#,BUY,4706.6,4694.68,4708.95,2026-05-07T11:41:00+05:30,4708.95,4508.95,,,,,2026-05-07T21:30:00+05:30,4727.42,FORCE_EXIT,18.47,0.3922,55.8,1.1849,-1.62,-0.0345,200.0,4.2472,400.0,8.4945,300.0,6.3708,700.0,14.8653
2026-05-08,GOLD.i#,BUY,4731.27,4709.48,4733.64,2026-05-08T11:58:00+05:30,4733.64,4533.64,,,,,2026-05-08T21:30:00+05:30,4709.09,FORCE_EXIT,-24.55,-0.5185,15.86,0.3351,-36.56,-0.7723,200.0,4.2251,400.0,8.4502,300.0,6.3376,700.0,14.7878
2026-05-11,GOLD.i#,BUY,4680.71,4648.12,4683.05,2026-05-11T17:52:00+05:30,4683.05,4483.05,,,,,2026-05-11T21:30:00+05:30,4732.42,FORCE_EXIT,49.37,1.0542,65.51,1.3989,-2.84,-0.0607,200.0,4.2707,400.0,8.5414,300.0,6.4061,700.0,14.9475
2026-05-12,GOLD.i#,SELL,4722.18,4708.59,4706.24,2026-05-12T11:30:00+05:30,4706.24,4906.24,,,,,2026-05-12T21:30:00+05:30,4669.41,FORCE_EXIT,36.83,0.7825,67.96,1.444,-8.17,-0.1737,200.0,4.2497,400.0,8.4994,300.0,6.3745,700.0,14.8739
2026-05-13,GOLD.i#,BUY,4707.31,4693.57,4709.66,2026-05-13T11:34:00+05:30,4709.66,4509.66,,,,,2026-05-13T21:30:00+05:30,4698.12,FORCE_EXIT,-11.54,-0.2451,5.71,0.1212,-40.26,-0.8549,200.0,4.2466,400.0,8.4932,300.0,6.3699,700.0,14.8631
2026-05-14,GOLD.i#,SELL,4704.18,4689.18,4686.84,2026-05-14T11:42:00+05:30,4686.84,4886.84,,,,,2026-05-14T21:30:00+05:30,4684.65,FORCE_EXIT,2.19,0.0466,20.2,0.4309,-31.92,-0.6812,200.0,4.2673,400.0,8.5345,300.0,6.4009,700.0,14.9355
2026-05-15,GOLD.i#,SELL,4606.41,4558.71,4556.43,2026-05-15T11:31:00+05:30,4556.43,4756.43,,,,,2026-05-15T21:30:00+05:30,4539.85,FORCE_EXIT,16.58,0.3639,44.72,0.9815,-32.16,-0.7058,200.0,4.3894,400.0,8.7788,300.0,6.5841,700.0,15.3629
2026-05-18,GOLD.i#,BUY,4552.19,4529.97,4554.47,2026-05-18T13:00:00+05:30,4554.47,4354.47,,,,,2026-05-18T21:30:00+05:30,4541.97,FORCE_EXIT,-12.5,-0.2744,29.72,0.6526,-24.53,-0.5385,200.0,4.3913,400.0,8.7826,300.0,6.5869,700.0,15.3695
2026-05-19,GOLD.i#,BUY,4546.51,4530.9,4548.78,2026-05-19T11:48:00+05:30,4548.78,4348.78,,,,,2026-05-19T21:30:00+05:30,4509.58,FORCE_EXIT,-39.2,-0.8618,10.52,0.2312,-84.25,-1.8522,200.0,4.3968,400.0,8.7936,300.0,6.5952,700.0,15.3887
2026-05-20,GOLD.i#,BUY,4479.02,4461.62,4481.26,2026-05-20T12:39:00+05:30,4481.26,4281.26,,,,,2026-05-20T21:30:00+05:30,4530.22,FORCE_EXIT,48.96,1.0926,71.53,1.5962,-14.2,-0.3169,200.0,4.463,400.0,8.9261,300.0,6.6945,700.0,15.6206
2026-05-21,GOLD.i#,SELL,4540.26,4518.37,4516.11,2026-05-21T12:55:00+05:30,4516.11,4716.11,,,,,2026-05-21T21:30:00+05:30,4515.47,FORCE_EXIT,0.64,0.0142,27.54,0.6098,-26.65,-0.5901,200.0,4.4286,400.0,8.8572,300.0,6.6429,700.0,15.5001
2026-05-22,GOLD.i#,BUY,4534.23,4507.3,4536.5,2026-05-22T15:38:00+05:30,4536.5,4336.5,,,,,2026-05-22T21:30:00+05:30,4518.21,FORCE_EXIT,-18.29,-0.4031,0.32,0.0071,-44.63,-0.9837,200.0,4.4087,400.0,8.8174,300.0,6.613,700.0,15.4304
2026-05-25,GOLD.i#,BUY,4565.98,4551.92,4568.26,2026-05-25T15:23:00+05:30,4568.26,4368.26,,,,,2026-05-25T21:00:00+05:30,4571.59,DATA_END,3.33,0.0728,8.68,0.1899,-15.44,-0.338,200.0,4.378,400.0,8.7561,300.0,6.567,700.0,15.3231
